disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2023-11-01T00:00:00.000Z,,3887494,d5c4069b301e6af213428487450acb5af6740e83,2023-11-01T04:03:22.859Z,dee29960-6077-4d55-aa89-f9635a2ae4e5
1257,,,,,33279674.22,9756691.41,23183628.92,2023-11-01T00:00:00.000Z,,18906913,5533433f9a13c9d609d7229be8adffbdaee2d21b,2023-11-01T04:03:22.859Z,7238feac-90b0-443e-afcc-d09d8180efd0
1260,,,,,9863594,3896685.75,5833055.72,2023-11-01T00:00:00.000Z,,1875688,e1da17e02887960ccda35daf12e1f660c20154c3,2023-11-01T04:03:22.859Z,50948e0e-c455-4ae2-a73b-34ab1755c15f
1261,,,,,5735788.21,2349946.79,3385841.42,2023-11-01T00:00:00.000Z,,1096729,e915898341fd485ca71b2278b73f23e23931e18c,2023-11-01T04:03:22.859Z,a2b0048d-e0cc-4411-8654-9e1fde90703c
1262,,,,,15377362.84,4437805.23,10793815.08,2023-11-01T00:00:00.000Z,,1494499,048ed4a9a2be412e3195cf6b930e1c27bc969b79,2023-11-01T04:03:22.859Z,3637d11c-0d48-4110-93d3-c591a1de55fc
1264,,,,,3033110.28,882780.99,2135164.26,2023-11-01T00:00:00.000Z,,915473,ce0247f3546c9c8305a4bd9c632bde3af8aaa6b0,2023-11-01T04:03:22.859Z,0c6e99bb-6432-467e-b7a6-ea1b8e57ec14
1265,,,,,6970269.48,2590192.47,4349918.09,2023-11-01T00:00:00.000Z,,1319820,56cd9831dee2fc5d23a419a12cf4e78537a7d093,2023-11-01T04:03:22.859Z,6c438e92-b8ef-4088-a5cf-8946067b0150
1266,,,,,7265330.4,4572203.46,2603875.52,2023-11-01T00:00:00.000Z,,3634575,6ca63b5f0b916a93606bb0119efbc3c92f6fbb01,2023-11-01T04:03:22.859Z,37ca8da8-52bf-4da6-bd6f-1814d1e9b8d8
1268,,,,,721979.29,43929.52,655398.71,2023-11-01T00:00:00.000Z,,120352,244f84964a68e32b94ce2a21ef6298ebd3f69a9f,2023-11-01T04:03:22.859Z,a3f2e1e7-cb3e-43e4-be4b-bb71ca39394d
1269,,,,,1737569.4,898066.5,810242.78,2023-11-01T00:00:00.000Z,,1037030,97bee75a218f533719104518a75f712213ce4855,2023-11-01T04:03:22.859Z,9ab890ff-50cf-4726-b14c-28e033e22f15
1271,,,,,1868757.98,1691960.54,176797.44,2023-11-01T00:00:00.000Z,,495343,6ff7b4416234232186ef5b48acd926bf206fb140,2023-11-01T04:03:22.859Z,c35eb179-e9d3-4ce5-aa93-69200af6ec73
1272,,,,,40588743.22,29892462.64,10342694.45,2023-11-01T00:00:00.000Z,,12665798,35647f95b9618a7fe08448db27321be0a004708b,2023-11-01T04:03:22.859Z,3e40deea-f283-4b41-be48-024302b873c7
1273,,,,,3144097.57,2597610.34,546487.23,2023-11-01T00:00:00.000Z,,1764725,40365ae04df657113003c199853237c42a82d358,2023-11-01T04:03:22.859Z,75ab44b4-e691-4a61-b30b-0ee26909630e
1274,,,,,1525086.7,1060865.15,587622.94,2023-11-01T00:00:00.000Z,,778869,f71bc75ffc86670d524f45f31baccd31d3bab730,2023-11-01T04:03:22.859Z,fba68ecb-671b-4200-9a55-db6713b8d462
1275,,,,,5322523.58,2426827.39,2821849.55,2023-11-01T00:00:00.000Z,,853245,afd09cf059e1b8b12023d792137373df93491b9f,2023-11-01T04:03:22.859Z,128bfe29-4661-47ae-aabc-3b1fffd981ae
1276,,,,,5242416.68,546984.2,4587872.59,2023-11-01T00:00:00.000Z,,1158596,128dedff3fc90a492469aca3488aad316ce094ed,2023-11-01T04:03:22.859Z,f853046e-6ae6-4f0e-8853-6491cd9f9654
1277,,,,,8534710.43,1862546.18,6422742.96,2023-11-01T00:00:00.000Z,,2449736,4dbc9f98ea0f557d1efec733df13e06a0383bf80,2023-11-01T04:03:22.859Z,dbd61a04-14ff-493f-b2d8-f19b222a7f26
1278,,,,,501235.42,20563.57,469397.28,2023-11-01T00:00:00.000Z,,113954,cb6c1697fc00ff47ba0ab2e00f9e98432e11a1bc,2023-11-01T04:03:22.859Z,9a0e61e2-6f78-4e22-8147-f87e0b71f7f9
1279,,,,,48334834.63,3905669.96,43752362,2023-11-01T00:00:00.000Z,,11742244,a3da1c38f4aef19e8046a04db0d319ae45de8247,2023-11-01T04:03:22.859Z,a60dd7c5-463e-4b26-a7fe-6a08fe41000d
1280,,,,,801099.77,621063.41,162372.31,2023-11-01T00:00:00.000Z,,1152684,e380b159d550e6f92d51712d5e841d1e54bad4ce,2023-11-01T04:03:22.859Z,931b9f27-c39a-44ee-a871-ef35553b1f17
1281,,,,,4736115,429615.84,4190877.14,2023-11-01T00:00:00.000Z,,704930,4474b5b31a60287debee631b57dc75e4c7f0b2cc,2023-11-01T04:03:22.859Z,db03b483-8c34-412d-bfd7-214a91495d43
1282,,,,,10955690.74,1814403.47,8883933.06,2023-11-01T00:00:00.000Z,,2636499,0048331ef1f405320a9c2babba844c2043489e74,2023-11-01T04:03:22.859Z,4c66b040-bc61-4405-8f2f-53f6cb99168e
1283,,,,,11679939.6,3332720.86,8260184.09,2023-11-01T00:00:00.000Z,,2769144,967b26999a3cfbac84df02ad5230a680d77b38f9,2023-11-01T04:03:22.859Z,03f40a46-587d-47a3-bb83-5d0a0581a215
1284,,,,,4064691.72,950005.26,3086906.66,2023-11-01T00:00:00.000Z,,641581,c8cb4185b76b4c5cfa593cf91f0e04253c66b7fa,2023-11-01T04:03:22.859Z,2bc9580a-25e1-403c-ae22-11358052f63f
1285,,,,,518798.92,331705.11,182722.6,2023-11-01T00:00:00.000Z,,86350,135006d9c9e96d66114aa1dcdc7098d4ec89fc43,2023-11-01T04:03:22.859Z,3c0fa136-1a0d-45b9-a3f0-6b074e4711da
1286,,,,,2083481.55,147935.45,1935546.1,2023-11-01T00:00:00.000Z,,621569,735fef9f1c9772a31af86294d0ef88e48d4e2a0e,2023-11-01T04:03:22.859Z,d920bb00-f935-4aed-91b5-2c68476c0301
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-11-01T00:00:00.000Z,,3182052,2d09339ff005e045cd99ea91ebef0c3dff231b86,2023-11-01T04:03:22.859Z,27e5b5b8-893e-41e2-8e3a-cc528d723421
1288,,,,,7734889.99,727111.27,6928401.83,2023-11-01T00:00:00.000Z,,1359545,fa03ac69fcb401b0cdeb7563c52279fc3bd1c34a,2023-11-01T04:03:22.859Z,932213ac-a6ae-4d8e-a86e-b3c4acc63429
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-11-01T00:00:00.000Z,,305977,58bf6ec427c5f08d1fe6c5f2d757f06e30279e3d,2023-11-01T04:03:22.859Z,4bc3ec04-785a-40ac-9e94-629611126c1c
1292,,,,,298105794.06,143602692.89,150485207.39,2023-11-01T00:00:00.000Z,,67665966,5b9e52c98a3f540a891327ea678e4e3404f72cf0,2023-11-01T04:03:22.859Z,ba028f40-6cdb-42ec-8153-9d813805d448
1293,,,,,19890308.77,8206956.08,11605641.68,2023-11-01T00:00:00.000Z,,4034816,9f8696fd736f93803ed14e44773d285d4e5e2f8d,2023-11-01T04:03:22.859Z,f687a080-239b-48cb-8920-8de36a8b8125
1294,,,,,10347269.34,4079425.04,5840828.95,2023-11-01T00:00:00.000Z,,4277685,36ddec18397fb80a6ef9cb1d4b1bb87c3368ba11,2023-11-01T04:03:22.859Z,ba1d8029-798b-49e7-b4a5-9f33876ccacd
1295,,,,,38703382.74,17818465.28,20285139.28,2023-11-01T00:00:00.000Z,,9436261,2aa88950508ee6592fbf9974adf109dc635d4bc6,2023-11-01T04:03:22.859Z,2a880939-95ca-48d6-bc3e-d6a9c4c79c27
1296,,,,,41182922.07,10759369.68,29436671.56,2023-11-01T00:00:00.000Z,,4413443,6801ba28a785d925c5f736eccf7278f61f0b2e90,2023-11-01T04:03:22.859Z,2f98ad07-fc57-43a4-baa7-6f355a143f48
1297,,,,,3374929.57,413506.66,2970485.64,2023-11-01T00:00:00.000Z,,831368,8d1ad21a7f18dfc36b6de31e6116bfaa8b8cf5a2,2023-11-01T04:03:22.859Z,35757410-ef6a-440c-9693-33546a3522bc
1299,,,,,20544924.45,13046343.17,7178637.83,2023-11-01T00:00:00.000Z,,6074584,51671fcc119d4f63899993b81009aa94eba27f34,2023-11-01T04:03:22.859Z,48200919-66b6-41c1-aea3-acc04698cf3e
1300,,,,,34309695.49,16704381.41,17070710.07,2023-11-01T00:00:00.000Z,,3599288,a3fe4560b86f267c75e4e695f345a13052a7c9d5,2023-11-01T04:03:22.859Z,93100559-2603-4e37-a4e3-e3065575e1db
1301,,,,,1968329.67,18254.17,1953360.86,2023-11-01T00:00:00.000Z,,7803,bbe6fd8e68d8b1f34b314d43aa154cc2305375ef,2023-11-01T04:03:22.859Z,8c595d31-8de3-4e9b-9b0b-485edd1fa5fa
1302,,,,,1875868.51,590763.4,1224126.36,2023-11-01T00:00:00.000Z,,107462,c00e9ccd4a1e3ba2a04be9921290e65c444e1dc8,2023-11-01T04:03:22.859Z,3a6a738e-df63-4d57-8a23-d22cc97f7ed4
1303,,,,,5462529.93,1195275.68,4267254.25,2023-11-01T00:00:00.000Z,,1061424,fa213ef27fc9663af501fed016c479d2ea8c7a4e,2023-11-01T04:03:22.859Z,c5d9c7b7-9d92-45ba-a941-479ae4d45a8e
1305,,,,,594693.82,73108.21,521585.61,2023-11-01T00:00:00.000Z,,11345,b3d3c3b6196e045066c15c411a7a208987c7eaa2,2023-11-01T04:03:22.859Z,275fa4f4-5d72-4e72-a230-6e5fe47ff7d5
1306,,,,,106261560.28,32644798.12,72246572.61,2023-11-01T00:00:00.000Z,,21423043,25a3239548cb914d8d7620991451bfd5ee254575,2023-11-01T04:03:22.859Z,ba502093-feee-4d78-a21f-9233684806df
1307,,,,,1010652.61,397663.92,612988.69,2023-11-01T00:00:00.000Z,,111961,f86fb4612c50d48727f3cf9c8148e1770f3820d4,2023-11-01T04:03:22.859Z,f5801970-5a4e-45bc-9f0e-adb7ec20c9eb
1308,,,,,920741.26,21376.49,880889.25,2023-11-01T00:00:00.000Z,,136145,355081df4fc707c273f51a0e0676b5fbe6d12648,2023-11-01T04:03:22.859Z,7e0f58a4-2116-439b-b681-0ffe606c9f1c
1309,,,,,4844695.58,1257343.05,1891051.87,2023-11-01T00:00:00.000Z,,1847365,008ba1c7426eb3bff4fb0b0dd1c02b075ef86806,2023-11-01T04:03:22.859Z,a925ad47-67a9-4ea2-ae5e-c8e9cc8a95e5
1310,,,,,4680340.29,1386231.25,3245139.39,2023-11-01T00:00:00.000Z,,250405,1850470200f5bcf07b452c67e8db5a2bf3d5dc41,2023-11-01T04:03:22.859Z,08fa8421-59fb-4b4e-bbef-39826118076c
1311,,,,,36909135.59,26066940.79,10849669.36,2023-11-01T00:00:00.000Z,,5289650,d2f063f72676d829e86c4a41bf1b77b37c5f8e44,2023-11-01T04:03:22.859Z,287d2950-10d9-48de-888d-261f6764a228
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-11-01T00:00:00.000Z,,3453353,58d7d817f3529d04366dfc3cb0c5ea9da6ab08bd,2023-11-01T04:03:22.859Z,6aeccbc2-47fa-4f1d-bab2-b72ee44e855f
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-11-01T00:00:00.000Z,,1311471,5024c70e33c540d30d6d85c14e8fc911da1e1b93,2023-11-01T04:03:22.859Z,5ff818c7-9312-4324-a41d-178a8d090b84
1314,,,,,2605294.29,1170005.58,1430613.75,2023-11-01T00:00:00.000Z,,405517,af532175f33f85a4beb59abeddae56c8bf1fe343,2023-11-01T04:03:22.859Z,4b447070-cea7-4f6e-9576-5fa008ba690c
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-11-01T00:00:00.000Z,,662973,85f5d92b9308dc8f798b85127b7c7f8e98386b5f,2023-11-01T04:03:22.859Z,b8fc3878-6613-419a-ba09-d36a5c879430
1316,,,,,10798817.35,6382892.52,4291133.67,2023-11-01T00:00:00.000Z,,1583458,ba055157798c4bfa9303a5ea8b89abcdcc614400,2023-11-01T04:03:22.859Z,be7df5e9-a6cc-4e69-968e-46bf50d97068
1317,,,,,3394920.15,1502165.83,1892754.32,2023-11-01T00:00:00.000Z,,438084,8425220542556f08013f63a8cc9879a516e73777,2023-11-01T04:03:22.859Z,bd449d84-3cca-4212-b170-5b4c91f43c57
1318,,,,,13588960.08,13193223.02,451699.92,2023-11-01T00:00:00.000Z,,1454376,380ac964c4af06cf749d76a9dbe6f664640c4ffa,2023-11-01T04:03:22.859Z,87e5cdb8-5495-4005-a422-03ba447d9f0b
1319,,,,,5134082.94,329668.71,4780114.36,2023-11-01T00:00:00.000Z,,1289906,e5997016bbccf740cb059372b036e97bc701b50d,2023-11-01T04:03:22.859Z,f4ec095d-2179-41b4-bd94-8f522200da76
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-11-01T00:00:00.000Z,,420140,42a53d0213107d55b7cae6304c79a1c2438a838a,2023-11-01T04:03:22.859Z,0c0ee450-5a5a-4896-9a54-03de48711dfa
1323,,,,,3773011.29,2434987.46,1282012.04,2023-11-01T00:00:00.000Z,,556864,46c06830b651c85d687753d0e4397468992711e0,2023-11-01T04:03:22.859Z,b226a913-cb06-480c-a1be-96d869d2f3e8
1324,,,,,10907868.92,10902315.84,-40533.34,2023-11-01T00:00:00.000Z,,1613748,d47d9ec012ce0a2c6a678f9d8437767404160807,2023-11-01T04:03:22.859Z,21e4f781-d87c-40ce-877d-b7f9557ecd8a
1325,,,,,1354522.51,1343225.92,,2023-11-01T00:00:00.000Z,,98973,82bdf6d11bda0b49d58652f0aacea1fe12c8c879,2023-11-01T04:03:22.859Z,4c940acf-9149-4b2c-8568-73b14ffb3745
